Shoulder_Angle_Left,Shoulder_Angle_Right,Elbow_Angle_Left,Elbow_Angle_Right,Hip_Angle_Left,Hip_Angle_Right,Knee_Angle_Left,Knee_Angle_Right,Label
64.74643,51.500263,159.39552,147.20613,154.41953,167.3643,151.62646,159.21895,pushup
65.54515,53.242954,163.3465,151.54181,155.15549,168.41351,151.80481,160.11308,pushup
66.58195,57.262028,168.34682,158.42783,154.66415,167.78574,150.80165,159.2156,pushup
70.35186,57.828312,173.05464,159.94234,154.98584,168.90034,150.6614,160.17648,pushup
71.83894,59.59342,174.8207,161.79518,154.79678,168.41418,150.81783,160.19658,pushup
72.88687,59.939632,174.95294,162.47462,154.71384,168.32181,151.48264,161.03679,pushup
73.511444,59.93809,175.92781,162.54497,154.1434,167.94995,151.20456,160.4318,pushup
73.61108,60.371227,174.6788,162.11632,154.0065,167.82623,151.18869,160.75502,pushup
73.809525,60.255276,175.5627,162.02563,154.03958,167.99992,151.41147,161.03784,pushup
73.63499,60.178307,174.92317,162.27849,153.9837,167.80429,151.34505,160.84415,pushup
73.16468,59.376545,174.88885,161.55275,155.02794,168.93758,152.04611,161.46516,pushup
69.32341,59.082764,167.56572,158.68922,156.24123,169.55836,151.89139,161.09207,pushup
66.52304,56.666897,163.63591,155.2494,156.7912,169.48587,152.55699,160.50537,pushup
65.50925,52.594376,158.58203,147.3513,156.07791,169.2005,150.99336,159.6289,pushup
62.0805,50.280323,152.39183,141.85187,155.643,168.23528,150.36702,157.09573,pushup
62.627872,48.48646,150.46776,138.58626,156.47308,169.18805,151.08894,157.18869,pushup
56.529465,49.129707,146.5693,141.14873,161.64471,172.58867,154.69412,158.34311,pushup
52.28795,48.34543,141.53726,140.53712,164.71605,175.75969,159.15688,162.93704,pushup
44.50468,38.094635,135.33447,127.49793,159.76355,173.15102,154.61835,162.96939,pushup
41.24387,35.20808,124.66381,117.660835,157.36685,173.0442,154.6054,166.64412,pushup
37.711052,46.058342,117.67957,136.56808,165.62292,177.13528,164.2946,178.83836,pushup
29.654238,45.05152,108.49508,132.92679,166.29631,176.37868,164.34203,178.95656,pushup
29.02139,88.835434,101.679665,175.04124,167.15648,176.04318,167.61253,178.23141,pushup
37.74685,97.1714,94.61234,164.21652,168.4476,176.19547,170.1549,177.67906,pushup
6.7518587,142.41937,48.129677,104.10511,172.57272,170.45909,173.03136,175.1272,pushup
15.9373,74.265434,33.166637,35.53996,176.32149,170.20862,174.87541,178.17543,pushup
16.235174,54.979084,33.335712,12.029982,176.6657,169.5916,175.12761,177.88881,pushup
5.484086,131.7057,40.845997,93.95284,173.4039,170.78854,172.97066,176.26617,pushup
9.757456,159.50978,55.15288,177.50911,170.86325,171.76514,170.44142,175.868,pushup
64.18938,126.30485,101.29963,129.62024,164.16019,176.76727,168.17743,176.9538,pushup
31.630075,51.96469,95.16852,124.19742,166.728,176.5226,168.84268,176.60136,pushup
35.19944,49.15137,106.10686,127.544815,165.63557,177.01704,166.36629,178.23674,pushup
39.164585,49.07203,115.389084,131.85834,164.2639,178.93155,164.53932,179.28398,pushup
43.260056,47.576088,122.0004,135.7168,163.48444,178.55597,163.40898,179.8176,pushup
43.78555,36.787735,128.14789,121.916176,157.0937,173.02179,156.07579,169.02328,pushup
45.96986,38.753677,132.71756,124.41108,157.89359,173.24007,154.54253,166.21272,pushup
49.574295,48.60821,137.81259,139.66689,167.16139,177.95444,161.74832,165.69542,pushup
53.16401,51.334106,141.71902,142.39761,165.47557,176.7508,160.24132,164.98375,pushup
57.928757,52.905735,148.1763,146.2239,162.97871,174.13528,158.15172,162.32146,pushup
61.997993,53.19577,152.68044,147.68864,160.43924,171.72717,155.8847,160.79929,pushup
64.15401,49.450565,153.54787,141.23601,153.8101,166.66483,150.3257,156.17601,pushup
63.66391,48.06276,156.90068,142.51553,154.70802,167.62791,151.46465,158.04887,pushup
65.36449,50.236057,160.47597,146.41585,154.80754,167.60738,151.05959,158.82137,pushup
67.46592,52.662212,166.0738,151.27534,155.06555,168.25621,151.59494,159.47945,pushup
68.54632,56.409702,170.63593,158.22107,154.37602,167.776,149.74582,157.99365,pushup
70.70496,57.958088,174.71854,160.16292,154.87231,168.33824,150.59528,159.44455,pushup
72.624596,60.773155,176.7306,163.9398,154.4721,167.93286,151.90204,160.63773,pushup
72.94204,60.382973,175.95078,163.89001,154.32672,167.83528,151.49023,160.51086,pushup
72.907135,60.688244,176.98253,164.6391,153.86127,167.52966,151.0924,160.68646,pushup
73.08035,60.43917,177.5259,164.40536,154.07701,167.5482,151.1366,160.16435,pushup
73.068214,60.658947,177.57843,164.41154,153.76834,167.19574,150.82716,160.01277,pushup
72.78507,60.44622,177.05702,164.14728,153.53601,167.06834,150.16855,159.60307,pushup
72.469376,59.99267,176.61197,163.20415,153.66583,167.0403,150.04593,159.15434,pushup
71.45606,58.612972,175.67961,161.17668,154.10577,167.39848,149.74446,158.51337,pushup
69.26249,57.619526,171.72769,159.27252,154.1921,167.67729,149.78204,158.71352,pushup
68.77359,56.707623,164.83855,154.17056,155.41628,168.12247,150.47711,158.28513,pushup
67.50597,51.655117,161.27353,147.27837,154.74513,167.71436,150.59056,158.77768,pushup
66.53394,50.03063,157.15987,143.3617,153.43077,166.33376,149.87953,156.42711,pushup
64.18228,46.881275,153.67134,139.533,154.32799,167.11731,150.67184,156.13286,pushup
59.410805,49.26983,149.10661,141.96602,160.45361,171.88312,154.50676,158.27614,pushup
55.35575,50.165936,144.92065,141.95143,164.24614,175.58917,158.61842,162.73924,pushup
48.238777,41.064167,137.72076,127.950516,157.5759,171.68253,153.83324,162.94153,pushup
44.211826,37.00716,129.24353,121.59418,156.37909,171.7999,155.27997,167.13992,pushup
42.33587,47.939644,121.98367,140.0632,164.7286,177.29709,164.11075,179.21838,pushup
36.6927,49.677128,111.76318,134.40044,164.707,177.68234,163.3646,179.1996,pushup
37.11825,64.91324,102.4152,141.73988,165.78622,177.50407,168.01202,177.93578,pushup
22.093225,130.03442,91.33989,179.41182,166.7201,176.86368,167.30411,179.08571,pushup
18.764181,157.93184,68.041595,156.27812,167.59535,174.47292,169.48003,177.37146,pushup
3.1366882,51.401512,43.22726,12.231562,170.91177,170.9684,171.11755,176.9073,pushup
4.5494123,41.312286,44.106762,12.2316265,167.10275,173.87656,167.22784,174.88449,pushup
6.6018553,42.228985,44.642685,8.256306,167.11063,173.70096,166.86299,175.19305,pushup
6.570323,58.733086,48.768612,19.164019,170.8559,170.43979,170.8942,176.80885,pushup
55.679348,144.24269,115.376205,72.10241,164.78008,177.64374,166.47507,178.22346,pushup
34.083263,93.86085,103.46583,160.72212,165.42761,177.67787,168.11537,178.28114,pushup
34.155476,45.5643,107.659996,127.81842,165.65182,177.53613,164.93745,179.86153,pushup
37.14432,46.604183,116.910034,134.79276,165.56665,177.74318,163.9898,178.28741,pushup
42.847298,37.209106,127.657906,128.19513,158.07932,173.2044,157.97932,169.4146,pushup
44.89137,36.89928,131.79637,126.42552,157.44794,172.86847,155.78836,167.71228,pushup
45.656788,37.905228,135.31529,127.31555,158.42685,173.81961,153.91954,165.36816,pushup
50.31573,41.75451,140.47131,131.47897,158.42183,173.05583,153.05139,162.93681,pushup
54.31871,50.369736,146.11713,146.72589,165.97914,177.50471,158.88008,163.78253,pushup
60.372204,53.195328,152.53838,148.79237,162.47711,173.83147,155.86038,160.19362,pushup
63.96883,52.347736,156.94247,148.24777,159.6291,171.05397,152.74408,157.35402,pushup
66.449455,48.297558,158.0131,141.76746,153.66258,167.25008,148.37292,154.50258,pushup
64.75948,48.47263,160.99123,142.92378,154.41365,167.0473,149.63327,155.95369,pushup
67.201744,50.347694,164.36954,146.9547,154.04877,167.18918,149.3036,157.48003,pushup
67.667595,52.001663,168.0482,152.26056,156.02792,169.39563,151.22536,159.06134,pushup
69.06179,55.815716,171.77306,158.86665,157.06331,170.21272,151.78552,159.71793,pushup
71.34271,58.644753,176.56932,163.78441,156.7726,170.15596,152.50716,160.73676,pushup
72.51727,59.384327,176.58928,164.23433,155.9205,169.48276,152.2813,160.66757,pushup
73.28067,59.804462,177.7907,164.54378,155.5616,169.25713,152.29486,160.78395,pushup
72.867905,59.26178,176.78368,164.20003,155.7477,169.54341,152.12729,160.83766,pushup
73.05353,59.326855,177.26956,164.44101,155.84892,169.59404,152.34982,160.99474,pushup
73.22932,59.269142,177.6554,164.18933,155.63333,169.31476,152.2154,160.61945,pushup
73.23879,59.045616,177.37965,164.40723,155.80185,169.52428,152.19505,160.75522,pushup
73.17071,59.16388,177.9233,164.72426,155.6426,169.1742,152.02753,160.25937,pushup
71.89592,58.465275,174.91818,162.93585,156.51595,170.09819,151.9288,160.48953,pushup
70.261345,58.02619,171.57608,160.82782,157.21596,170.3799,151.73563,160.12592,pushup
68.518036,56.04625,166.62274,156.82025,156.9636,169.99976,151.41968,159.78088,pushup
67.471115,49.674828,162.65874,147.47298,156.5927,170.08531,151.42998,159.16974,pushup
65.039894,48.120987,159.05046,143.5491,156.52492,169.20267,151.02165,157.7056,pushup
65.45067,46.93465,156.50809,140.13162,154.41507,167.20854,149.48601,155.03706,pushup
64.11267,52.305542,154.84268,145.11024,159.7978,170.74889,153.69472,157.17943,pushup
57.92845,52.18434,147.41934,144.25966,163.05565,174.2251,157.76836,161.63693,pushup
50.61271,42.978794,138.69191,130.1653,158.04413,172.05904,154.51915,163.26854,pushup
48.18186,39.29329,132.4714,124.42274,156.31201,171.50832,155.90265,167.33368,pushup
44.391773,48.307632,123.61239,138.8043,162.27934,179.29723,163.02348,178.5897,pushup
36.61741,51.026566,110.932785,131.59889,163.89546,178.71793,164.35422,179.0791,pushup
42.754066,67.6958,105.389984,144.77303,164.66417,178.47324,167.40662,178.81882,pushup
51.627457,129.82732,97.531136,175.89519,163.94034,177.88799,168.5237,177.2475,pushup
53.398693,158.15472,85.88574,150.11302,166.8447,174.12712,172.69385,175.12587,pushup
14.105386,61.270603,53.174004,22.638422,170.38382,170.86072,173.3334,174.36949,pushup
16.086046,69.500854,51.429836,33.081314,170.27406,170.88309,172.8501,175.41434,pushup
33.24166,74.77731,61.953495,30.905785,169.0868,171.68768,173.25964,174.97842,pushup
49.653637,127.673386,73.448784,79.19289,168.00134,172.2912,172.52869,175.09406,pushup
61.114986,133.35435,86.83343,179.11705,163.87468,177.27234,169.62448,176.75531,pushup
46.845657,136.12976,101.72297,171.74176,164.87498,178.21391,168.79366,177.86136,pushup
37.182846,79.94639,107.869865,151.08492,165.13959,178.46213,166.5006,179.6428,pushup
40.220757,51.184364,114.63577,133.12914,164.4341,179.33676,164.93648,178.80775,pushup
42.933704,50.127106,124.69797,142.80396,165.22604,178.07848,164.66124,179.00005,pushup
45.97977,39.101593,133.64801,129.96788,157.21591,172.85587,155.06789,166.73714,pushup
48.81954,41.146313,138.67688,131.06818,157.8008,172.04028,153.5334,163.37704,pushup
51.433662,42.904144,143.57916,136.58101,158.50894,172.95648,153.82028,163.48239,pushup
57.25624,52.667664,150.34175,150.42769,164.2237,174.89806,158.39441,162.29549,pushup
62.274075,52.835693,155.8919,150.21388,162.10904,173.13039,156.47968,159.91342,pushup
66.77813,54.311558,161.45398,151.70264,159.20073,170.29832,153.10864,157.84384,pushup
66.6476,47.67312,161.04878,141.73969,154.23477,167.40501,149.38069,155.57458,pushup
67.26429,50.584248,162.66985,145.12018,152.98842,165.95894,148.81184,155.83531,pushup
67.51699,51.287766,164.7232,147.06245,153.15735,166.27904,148.42662,156.82716,pushup
69.56681,52.905754,167.86911,151.27739,153.77327,167.76135,149.29297,158.30223,pushup
69.321365,57.363758,171.50166,158.71326,154.95242,168.43205,150.50502,159.68388,pushup
70.8907,59.73252,175.29472,162.98589,155.73244,169.22792,152.00089,160.82997,pushup
72.83102,60.63093,176.87988,163.15384,154.80876,168.32597,151.74347,160.71748,pushup
73.7243,59.509113,176.96635,161.31851,154.55136,168.22092,151.41971,160.45303,pushup
73.427216,60.31496,177.17395,162.35652,153.80853,167.52605,150.65533,160.16008,pushup
73.95885,60.296143,178.5943,162.09608,153.8831,167.86371,150.88084,160.85704,pushup
73.92156,60.300488,178.3648,162.89792,154.0023,167.98598,150.78963,160.90756,pushup
73.706985,60.243256,178.14616,162.73485,154.34644,168.22917,151.1135,160.9599,pushup
73.596886,59.806187,177.38385,161.87056,154.41084,168.39409,151.26218,161.14589,pushup
72.92616,59.27692,176.32347,161.29773,154.54404,168.47006,151.01405,160.62254,pushup
71.66359,59.013233,173.86386,161.36502,155.11803,169.0734,150.78531,160.75276,pushup
69.44716,56.555317,168.83827,157.36563,155.8887,169.29222,150.8477,159.74257,pushup
67.89436,53.71194,164.34378,151.31087,154.6706,168.05913,150.04251,158.56174,pushup
66.97496,51.681686,160.30795,145.99237,154.27605,167.33028,148.5568,157.03674,pushup
64.65732,48.386528,154.06038,139.5878,154.2033,166.89027,148.9268,154.88986,pushup
62.23862,53.279255,151.40575,145.58797,159.33353,170.5109,153.97874,158.18756,pushup
55.492897,50.96173,144.4535,142.21658,163.5626,174.64891,158.66666,162.83867,pushup
49.008163,42.70376,137.74565,129.30092,157.5858,171.22217,154.29857,162.88832,pushup
44.800648,37.609985,130.22781,123.27241,156.72131,171.46872,156.08083,166.7869,pushup
41.97008,45.032402,121.789314,136.50499,161.6573,179.92596,161.85854,177.93085,pushup
36.955933,48.039143,113.43035,133.26068,162.71768,179.94064,164.3943,179.65451,pushup
33.96004,56.974415,101.2246,131.26082,163.71196,179.62622,165.72829,179.68408,pushup
44.383705,95.760765,99.81417,168.2695,164.10675,178.89873,169.17902,176.97327,pushup
15.503453,72.944595,69.38586,139.32332,166.83298,176.25293,171.62097,176.4997,pushup
1.5002435,146.82985,47.154755,113.67108,169.97409,173.22296,172.0281,176.24426,pushup
13.688465,79.61644,36.10613,51.650642,172.80891,171.54668,173.18375,176.92502,pushup
10.235084,54.69386,35.97928,20.649271,172.59293,170.49907,173.26355,176.07333,pushup
2.8137598,55.924965,40.306458,24.780296,172.4313,169.53935,173.2554,175.74934,pushup
40.456272,159.71431,78.31942,142.83745,166.65948,174.30696,170.47089,175.84026,pushup
48.848766,139.6772,90.09433,171.32443,164.48482,177.222,169.02339,177.01921,pushup
61.33567,131.67032,101.48944,168.54051,162.74538,179.30225,168.91342,177.85971,pushup
41.15576,52.92733,100.28311,125.687614,163.8223,179.01761,166.97734,178.7986,pushup
43.43668,52.124207,114.56757,135.35838,163.30305,179.44186,164.72527,179.5771,pushup
44.778538,51.854424,120.502716,138.25882,163.6227,179.6562,163.53207,178.24364,pushup
46.807304,37.724457,130.27998,123.93003,157.00989,173.148,156.35695,170.05147,pushup
47.795994,38.62845,131.91379,121.871605,157.45056,172.94238,155.32085,167.16133,pushup
49.113728,41.390556,137.20488,128.72629,158.54149,173.52817,153.92896,164.9799,pushup
52.683727,44.08175,143.70459,135.36082,158.70535,172.56184,154.29738,163.1337,pushup
63.25147,54.004013,156.63327,150.76556,161.51102,172.67259,155.40414,159.11711,pushup
67.9365,54.352345,162.05147,150.66048,159.68134,170.46002,153.31207,157.32063,pushup
67.292694,48.93298,160.55267,143.06432,153.66447,166.56569,148.21564,153.92601,pushup
66.63586,49.701626,162.12367,144.62796,153.18416,165.91214,148.04988,154.444,pushup
66.02006,51.0746,163.23294,147.14311,153.05374,166.04903,148.09099,156.04228,pushup
68.66041,53.591167,169.02696,152.2518,153.25047,166.82425,149.73006,158.09315,pushup
69.085045,58.046906,171.17184,159.81061,154.15912,167.75931,149.96344,158.80948,pushup
72.02805,60.484806,174.89825,163.35353,154.05513,167.98721,150.50722,159.85236,pushup
73.46963,60.74634,176.69754,162.80814,153.17389,167.1242,150.2095,159.478,pushup
73.66245,60.46833,176.41946,162.49068,153.17497,166.99098,149.97556,159.48897,pushup
73.42677,60.627686,176.5085,162.76689,153.39455,167.21947,149.99852,159.4966,pushup
73.30363,60.783073,176.50626,162.90073,153.48882,167.3239,150.11615,159.46758,pushup
73.860016,60.643246,176.87111,162.51753,153.24995,167.10149,149.58447,159.1481,pushup
73.703804,60.2688,176.73973,162.51064,153.02835,167.14447,149.53389,159.02715,pushup
73.4298,60.008617,176.52383,162.43414,153.04842,167.05093,149.0962,158.45634,pushup
73.08187,60.040413,176.17488,162.28069,153.2173,167.35464,149.15193,158.83507,pushup
71.67995,59.688663,173.95256,162.35362,153.5045,167.46254,149.14435,158.59753,pushup
69.49813,58.193317,169.01668,158.36133,154.52747,168.19249,148.73055,157.8608,pushup
67.994286,54.51441,166.12814,152.78685,154.83397,168.11606,149.4066,157.6151,pushup
66.52776,51.452778,161.34605,145.8947,154.3787,167.41689,148.22514,156.64082,pushup
66.64702,50.73699,158.88895,144.02103,153.88866,167.04932,149.32407,156.10976,pushup
64.598915,46.849422,152.38603,138.18198,155.00342,168.3131,150.12407,156.27373,pushup
61.322987,51.533443,150.5073,144.26859,160.5538,171.93205,155.81207,159.81491,pushup
51.12321,42.765873,141.96512,133.32404,159.11662,172.58809,154.9378,162.81631,pushup
44.5119,37.3952,128.863,122.40902,154.40463,169.62808,155.08142,166.76495,pushup
42.547153,46.85952,122.65389,138.64148,162.10771,179.8264,162.52429,177.88326,pushup
32.974884,46.631996,108.83974,131.21214,163.8731,179.34239,164.7759,179.63791,pushup
30.475271,55.024338,97.26423,135.74738,166.1363,178.30753,169.77966,177.2845,pushup
29.978989,123.442764,94.043304,174.8659,164.41388,178.93411,168.68335,177.40248,pushup
50.830643,130.36536,88.148506,171.83128,164.3426,177.712,170.39261,177.6902,pushup
1.6138607,101.3075,48.191113,64.023544,170.30989,172.96362,172.91615,175.92993,pushup
6.047566,138.72917,48.83575,99.6477,169.41162,173.6512,171.95912,177.1868,pushup
2.3600764,133.18854,47.662296,96.414,170.39543,173.01334,172.45494,176.88843,pushup
28.13416,171.70891,64.706276,143.55402,168.47139,174.00223,171.15565,177.58046,pushup
42.75515,143.78308,87.467186,147.11284,165.42316,176.82521,169.89198,177.27457,pushup
62.88381,136.42705,106.442665,110.8845,161.90474,179.57617,167.4662,177.53581,pushup
39.51441,97.801865,105.06818,158.41695,163.66942,180.0,167.66205,178.84308,pushup
36.852554,47.719738,111.809265,131.5498,163.92639,179.89165,165.0353,179.61082,pushup
40.341026,49.26661,119.00507,139.33354,163.7934,179.69481,164.00226,178.58624,pushup
44.90735,34.884594,127.47371,120.14508,155.80576,171.06308,156.86618,168.5863,pushup
46.273754,37.327713,131.86195,123.787926,156.46002,171.91283,155.59142,167.54459,pushup
46.52233,38.887047,135.07785,127.48238,157.15594,172.4397,154.12158,165.42166,pushup
50.442932,42.267155,142.1228,133.8141,158.26913,172.37422,153.12553,162.32896,pushup
54.033394,51.504566,146.3747,148.90442,165.46825,176.502,159.0305,162.8871,pushup
59.683903,54.365616,153.08759,152.01445,163.61438,174.5256,157.47148,161.00323,pushup
64.45833,52.791317,157.52914,149.45883,161.01613,171.59047,155.42384,158.53899,pushup
65.46707,46.553776,156.9372,140.98222,155.1274,168.47237,149.61432,155.46268,pushup
67.84322,47.81983,161.80923,142.29256,153.6193,166.74207,147.95758,154.14359,pushup
68.721176,52.695236,165.57506,149.48586,154.01044,167.4532,149.51395,158.06409,pushup
69.3111,55.699337,167.46742,154.20718,155.01039,168.21416,150.00577,158.28668,pushup
69.79785,59.245937,170.14345,160.858,155.42986,168.58842,150.21129,158.64467,pushup
71.15304,60.049812,172.44647,161.5215,155.12161,168.44295,150.31009,159.05055,pushup
72.08861,60.140087,173.39032,161.21162,155.36574,168.51338,150.74568,159.62608,pushup
72.41496,59.49128,174.00478,160.4096,155.33505,168.36984,150.79536,159.61084,pushup
72.61334,60.025948,173.2333,159.95299,154.91519,168.09087,150.52202,159.56604,pushup
72.87686,59.68967,174.80667,160.66579,155.1278,168.48282,150.75357,159.85399,pushup
72.82711,59.877266,174.30046,160.7593,155.21902,168.58673,150.8801,160.0354,pushup
72.71079,59.989548,174.1173,160.94333,155.34137,168.624,150.95163,159.93474,pushup
72.137794,60.1273,173.09355,161.15271,155.0838,168.4719,150.22102,159.28998,pushup
71.079025,59.418736,172.27399,160.49098,155.03374,168.44853,149.22276,158.22134,pushup
69.54156,58.606277,168.73526,158.23642,155.03275,168.35237,148.74751,157.80765,pushup
68.82682,55.67429,166.05055,153.98975,154.8745,168.28981,148.74109,156.9827,pushup
68.57132,52.80372,163.84601,148.58235,155.05174,168.05809,148.78119,156.2435,pushup
66.545815,49.239746,159.9762,143.7545,155.67531,168.31137,149.30005,155.8654,pushup
66.35424,48.481003,157.04091,141.1034,155.15752,167.42746,149.60185,154.50415,pushup
64.09153,53.76971,154.25964,146.37263,159.50966,169.9383,153.15369,156.16934,pushup
56.793083,50.803787,147.35068,144.41667,163.71423,174.35544,157.88672,161.19888,pushup
49.12659,40.90755,139.04362,129.17593,159.30109,172.80402,155.51308,163.04755,pushup
45.052155,37.786,132.18192,125.36057,156.96349,171.62924,155.4064,165.40813,pushup
39.90637,45.014263,122.16088,136.13974,162.12694,179.54156,161.4096,176.11198,pushup
33.476482,46.493862,111.5121,133.80858,164.06206,179.17932,163.25244,177.8929,pushup
26.440836,49.418728,100.444756,131.11206,166.15518,177.9248,167.00877,179.31357,pushup
12.807217,120.41673,68.27686,170.29509,167.78065,175.82532,170.69998,177.80974,pushup
1.7467486,47.362362,46.42261,1.3272167,170.71376,172.46846,171.66882,177.34796,pushup
